param: TS:  Ptotal:=
		1	0
		2	3000
		3	3000
		4	3000
		5	3000
		6	80
		7	80
		8	80
		9	80
		10	550
		11	550
		12	550
		13	0
		14	0
		15	0
		16	0
		17	0
		18	0
		19	0
		20	0
		21	0
		22	80
		23	80
		24	80
		25	80
		26	0
		27	0
		28	0
		29	0
		30	0;


param:  ESTADO: disp  ant   Pdisp  mindisc :=
#                             [W]  [amostras] 
        1        1    0       130    1
        2        2    0      3000    1
        3        2    2        80    1
        4        2    3       550    1
        5        3    0       850    1;

let numdisp := 3;

let disc_i :=1;
let window :=1;
		
